Bestseller,Genre,GenreBin,Title,Author,Published Year,Publisher,Page,Price,Reference by person,Reference by Magazine,authorgender(male0fe1team2),isFirstBestSeller,Duration,Duration1,Duration2(0=S1=L2=etc),Impact
2020,Biographies&Memoirs,1,Too Much and Never Enough: How My Family・,Mary L. Trump Ph.D.,2020,Simon & Schuster,240,28,0,3,1,1,1(2020),2,2,65000
2020,Children'sBooks,3,My First Learn to Write Workbook: Practice for・,Crystal Radke,2019,Rockridge Press,84,8.99,0,0,1,1,1(2020),2,2,24420
2020,Teen&Youngadult,6,Midnight Sun,Stephenie Meyer,2020,Little Brown Books for Young Readers ,672,27.99,0,4,1,0,1(2020),2,2,125000
2020,Business&SelfHelp,2,Untamed,Glennon Doyle,2020,The Dial Press ,352,28,1,0,1,1,1(2020),2,2,32500
2020,Politics&SocialSciences,7,The Room Where It Happened: A White House・,John Bolton,2020,Simon & Schuster,592,32.5,0,3,0,1,1(2020),2,2,10500000
2020,Politics&SocialSciences,7,White Fragility: Why It's So Hard for White・,Robin DiAngelo,2018,Beacon Press,192,16,0,0,0,1,1(2020),2,2,31581
2020,Teen&Youngadult,6,The Ballad of Songbirds and Snakes (A Hunger・,Suzanne Collins,2020,Scholastic Press ,528,27.99,0,5,1,0,1(2020),2,2,261000
2020,Politics&SocialSciences,7,How to Be an Antiracist,Ibram X. Kendi,2019,One World,320,28,0,1,0,1,1(2020),2,2,23980
2020,Politics&SocialSciences,7,Rage,Bob Woodward,2020,Simon & Schuster,480,30,0,0,0,0,1(2020),2,2,281000
2020,Literature&Fiction,6,Little Fires Everywhere,Celeste Ng,2019,Penguin Books,368,17,1,8,1,0,1(2020),2,2,78980
2020,Children'sBooks,3,Dog Man: Grime and Punishment: From the・,Dav Pilkey,2020,Graphix,240,12.99,0,2,1,0,1(2020),2,2,51800
2020,Literature&Fiction,6,American Dirt (Oprah's Book Club),Jeanine Cummins,2020,Flatiron Books ,387,27.99,0,0,1,1,1(2020),2,2,14100
